z,sigma8,xi_min,alpha_hill,alpha_pareto,tail_event_count
1.0,0.81,0.00307029062975785,1.283378046161726,1.283378046161726,30815
1.0,0.81,0.0035586235730509655,1.3035735717686523,1.3035735717686523,25859
1.0,0.81,0.004124626382901348,1.317623120453963,1.317623120453963,21545
1.0,0.81,0.00478065253300738,1.3384959765847795,1.3384959765847795,17989
1.0,0.81,0.005541020330009492,1.3612310282907236,1.3612310282907236,14985
1.0,0.81,0.006422325422229356,1.3791908329220501,1.3791908329220501,12403
1.0,0.81,0.007443803013251681,1.405757801438426,1.405757801438426,10292
1.0,0.81,0.008627747685955867,1.444026344496128,1.444026344496128,8568
1.0,0.81,0.01,1.4788934159064218,1.4788934159064218,7072
1.0,0.87,3.1622776601683795e-05,0.3299718305109118,0.3299718305109118,502861
1.0,0.87,3.665241237079626e-05,0.34686570728245986,0.34686570728245986,502861
1.0,0.87,4.248201698162608e-05,0.36558279178207337,0.36558279178207337,502861
1.0,0.87,4.9238826317067415e-05,0.38643506276636425,0.38643506276636425,502861
1.0,0.87,5.707031326057167e-05,0.4098099836407547,0.4098099836407547,502861
1.0,0.87,6.614740641230145e-05,0.43619480212074113,0.43619480212074113,502861
1.0,0.87,7.666822074546222e-05,0.4662108827581296,0.4662108827581296,502861
